csv2hpp_config_key_start=HEART_BEAT_QUEST_,,
Polyglot,desc,english
HEART_BEAT_QUEST_enabled,,enabled(need restart)
HEART_BEAT_QUEST_hyperate_reset,,RESET
HEART_BEAT_QUEST_hyperate_save_and_connect,,SAVE AND CONNECT
HEART_BEAT_QUEST_hyperate_input_hint,,"https://app.hyperate.io/<color=""green"">xxx</color><-input this"
HEART_BEAT_QUEST_no_message_from_server,leave empty, 
HEART_BEAT_QUEST_hyperate_con_start,,Connect start
HEART_BEAT_QUEST_hyperate_network_error,,Network error: 
HEART_BEAT_QUEST_hyperate_retry,,retry
HEART_BEAT_QUEST_hyperate_connected,,Connected.
HEART_BEAT_QUEST_hyperate_no_id,,No hyperate ID
HEART_BEAT_QUEST_hyperate_refused,,Refused by server
HEART_BEAT_QUEST_hyperate_you_have_message,,you have message
HEART_BEAT_QUEST_pulsoid_no_token,,No token
HEART_BEAT_QUEST_unsupported_feature_udpatre_mod,,"UI unsupported, maybe update your mod"
HEART_BEAT_QUEST_heart_osc_port,,OSC Port is {}
HEART_BEAT_QUEST_scan_start,,Start Scan
HEART_BEAT_QUEST_scan_stop,,Stop Scan
HEART_BEAT_QUEST_turn_location_on,,Need Accuracy Location Perm
HEART_BEAT_QUEST_scaning,,Scaning
HEART_BEAT_QUEST_auto_scaning,,Auto scaning
HEART_BEAT_QUEST_no_scan,,Scan stopped
HEART_BEAT_QUEST_ble_none_selected,,>> None
HEART_BEAT_QUEST_ble_none_not_selected,,None
HEART_BEAT_QUEST_ble_permission_unknown,,Permission manifest check error
HEART_BEAT_QUEST_ble_permission_needed,,Bluetooth permission missing for game
HEART_BEAT_QUEST_ble_permission_paired_only,,Paired only，need more permission
HEART_BEAT_QUEST_pairing,,Pairing.. click to stop.
HEART_BEAT_QUEST_not_pairing,,Not pairing.. click to start.
HEART_BEAT_QUEST_hiding_mac_addr,,"hiding mac address, click to show."
HEART_BEAT_QUEST_showing_mac_addr,,"showing mac address, click to hide"
HEART_BEAT_QUEST_server_skip,,skip 
HEART_BEAT_QUEST_heart_rate_lan_protocol_ver,,Heart Rate Lan Protocol Ver 
HEART_BEAT_QUEST_mod_version,,Mod version {}
HEART_BEAT_QUEST_for_game,,For Game {}
HEART_BEAT_QUEST_no_beatleader,,"Beatleader not detected or supported, record is disabled"
HEART_BEAT_QUEST_waiting,,Waiting...
HEART_BEAT_QUEST_text_color,,Text Color
HEART_BEAT_QUEST_flash_text_color,,Flash Text Color
HEART_BEAT_QUEST_replay_flash_text_color,,Replay Flash Text Color
HEART_BEAT_QUEST_flash_duration_when_text_come,,Flash duration when data come
HEART_BEAT_QUEST_flash_test,,Flash Test
HEART_BEAT_QUEST_reset_to_default,,Reset to default
HEART_BEAT_QUEST_data_source,,data source(need restart)
HEART_BEAT_QUEST_data_source_random,,random
HEART_BEAT_QUEST_data_source_lan,,(deprecated)local network
HEART_BEAT_QUEST_data_source_bluetooth,,bluetooth
HEART_BEAT_QUEST_data_source_osc,,OSC
