Polyglot,,
MOD_META_ModMetadata_NAME,mod name of ModMetadata (N/A),Mod Metadata
MOD_META_ModMetadata_DESC,mod description of ModMetadata (N/A),The medatada information of mod name/descriptions.
MOD_META_airbuds-search_NAME,mod name of airbuds-search (1.40.8),Airbuds Search
MOD_META_airbuds-search_DESC,mod description of airbuds-search (1.40.8),"Use your Airbuds (support Spotify, Apple Music, SoundCloud, Deezer, Amazon Music, Audiomack) listening history to quickly search BeatSaver maps!
For better Japanese search results, install the 'Airbuds Search Kakasi' mod.
Forked from Tycho Bellers' original Spotify Search."
MOD_META_airbuds-search-kakasi_NAME,mod name of airbuds-search-kakasi (1.40.8),Airbuds Search Kakasi
MOD_META_airbuds-search-kakasi_DESC,mod description of airbuds-search-kakasi (1.40.8),Kakasi-based romaji adapter for Airbuds Search.
MOD_META_AntiVertigo_NAME,mod name of AntiVertigo (1.40.8),AntiVertigo
MOD_META_AntiVertigo_DESC,mod description of AntiVertigo (1.40.8),"Spawn a bigger base platform for people with vertigo so they can play comfortably, AntiVertigo v1.0.9"
MOD_META_anytext_NAME,mod name of anytext (1.40.8),AnyText
MOD_META_anytext_DESC,mod description of anytext (1.40.8),Change any text in the game
MOD_META_BeatLeader_NAME,mod name of BeatLeader (1.40.8),BeatLeader
MOD_META_BeatLeader_DESC,mod description of BeatLeader (1.40.8),"beatleader.com | In-game leaderboards for custom and OST maps | Score replays | Clans, events, playlists and much more"
MOD_META_BeatTogether_NAME,mod name of BeatTogether (1.40.8),BeatTogether
MOD_META_BeatTogether_DESC,mod description of BeatTogether (1.40.8),A multiplayer private server for the modding community. Supports crossplay between PC and Quest.
MOD_META_BetterHaptics_NAME,mod name of BetterHaptics (1.41.0),BetterHaptics
MOD_META_BetterHaptics_DESC,mod description of BetterHaptics (1.41.0),Reverts haptic feedback changes without breaking arc and chain notes.
MOD_META_BetterSongSearch_NAME,mod name of BetterSongSearch (1.40.8),BetterSongSearch
MOD_META_BetterSongSearch_DESC,mod description of BetterSongSearch (1.40.8),Search and download songs with a lot of filtering and sorting options and without frustration!
MOD_META_bomb-qolorer_NAME,mod name of bomb-qolorer (1.40.8),Bomb Qolorer
MOD_META_bomb-qolorer_DESC,mod description of bomb-qolorer (1.40.8),Allows you to override the default bomb color
MOD_META_bsdc_NAME,mod name of bsdc (1.40.8),discord-presence
MOD_META_bsdc_DESC,mod description of bsdc (1.40.8),"Allows discord rich presence to see which song you're playing, the current time, and much more."
MOD_META_bsl_NAME,mod name of bsl (1.40.8),Better Song List
MOD_META_bsl_DESC,mod description of bsl (1.40.8),Improvement upon SongBrowser with similiar functionality
MOD_META_bsml_NAME,mod name of bsml (1.42.0),BSML
MOD_META_bsml_DESC,mod description of bsml (1.42.0),Library that parses BeatSaber Markup Language to create UI elements
MOD_META_BSNightcoreQuest_NAME,mod name of BSNightcoreQuest (1.40.8),BSNightcoreQuest
MOD_META_BSNightcoreQuest_DESC,mod description of BSNightcoreQuest (1.40.8),Removes pitch compensation to make songs go nightcore on different speed
MOD_META_bts-yeeter_NAME,mod name of bts-yeeter (1.40.8),BTS Yeeter
MOD_META_bts-yeeter_DESC,mod description of bts-yeeter (1.40.8),Stops the annoying BTS characters from spawning whilst playing their maps.
MOD_META_camera-utils_NAME,mod name of camera-utils (1.40.8),CameraUtils
MOD_META_camera-utils_DESC,mod description of camera-utils (1.40.8),Modding library that standardizes the use of GameObject layers and provides tools for easier rendering pipeline modifications
MOD_META_chatplex-sdk-bs_NAME,mod name of chatplex-sdk-bs (1.40.8),ChatPlexSDK-BS
MOD_META_chatplex-sdk-bs_DESC,mod description of chatplex-sdk-bs (1.40.8),ChatPlex BeatSaber modding SDK (Dependence for other mods)
MOD_META_chatui_NAME,mod name of chatui (1.40.8),ChatUI
MOD_META_chatui_DESC,mod description of chatui (1.40.8),Shows your Twitch Chat Ingame
MOD_META_christmas_NAME,mod name of christmas (1.40.8),Christmas
MOD_META_christmas_DESC,mod description of christmas (1.40.8),Turn your Beat Saber into a christmas wonderland!
MOD_META_chroma_NAME,mod name of chroma (1.40.8),Chroma
MOD_META_chroma_DESC,mod description of chroma (1.40.8),Colors!
MOD_META_ClockMod_NAME,mod name of ClockMod (1.40.8),Clock Mod
MOD_META_ClockMod_DESC,mod description of ClockMod (1.40.8),Displays the time in game. Alternatively also the Battery Percentage
MOD_META_CongXinJian_NAME,mod name of CongXinJian (1.40.8),CongXinJian
MOD_META_CongXinJian_DESC,mod description of CongXinJian (1.40.8),help you to tweaking saber offset easier inside quest
MOD_META_crashreporter_NAME,mod name of crashreporter (1.40.8),CrashReporter
MOD_META_crashreporter_DESC,mod description of crashreporter (1.40.8),Automatically upload crashes.
MOD_META_custom-json-data_NAME,mod name of custom-json-data (1.40.8),CustomJSONData
MOD_META_custom-json-data_DESC,mod description of custom-json-data (1.40.8),Funny maps go brrr
MOD_META_custom-types_NAME,mod name of custom-types (1.40.8),custom-types
MOD_META_custom-types_DESC,mod description of custom-types (1.40.8),Core mod required for other mods to function!
MOD_META_custommodels_NAME,mod name of custommodels (1.40.8),Custom Models
